Ecological.Group,Strategy,Wt.Best,Wt.High,Wt.Low
Riparian species,S12,64.375,74.375,50
Riparian species,S13,63.75,72.5,45.625
Riparian species,S14,61.875,69.375,45
Riparian species,S15,73.75,81.875,57.5
Riverine species,Baseline,45.57591623036649,54.08376963350785,32.04188481675393
Riverine species,S1,49.308900523560204,58.31413612565444,37.26701570680628
Riverine species,S2,55.602094240837694,64.10994764397905,42.539267015706805
Riverine species,S3,60.27748691099476,68.06282722513089,43.23560209424084
Riverine species,S4,57.1413612565445,65.72251308900523,43.13612565445026
Riverine species,S5,62.06806282722513,72.04188481675392,47.59162303664922
Riverine species,S6,56.225130890052355,65.80104712041884,41.72251308900523
Riverine species,S7,57.5130890052356,65.52356020942408,43.97905759162304
Riverine species,S8,56.57068062827224,65.0523560209424,42.539267015706805
Riverine species,S9,61.073298429319365,71.54450261780104,45.80104712041885
Riverine species,S10,57.24083769633508,67.04188481675392,43.23560209424084
Riverine species,S11,60.37696335078533,70.07853403141361,47.86387434554974
Riverine species,S12,60.37696335078533,70.54973821989529,46.31937172774869
Riverine species,S13,55.77486910994764,64.68062827225131,44.13089005235602
Riverine species,S14,61.073298429319365,71.07329842931937,48.01047120418848
Riverine species,S15,67.565445026178,76.54450261780104,53.560209424083766
Sandy species,Baseline,50,59.285714285714285,33.57142857142857
Sandy species,S1,61.42857142857143,70,45
Sandy species,S2,62.14285714285714,68.57142857142857,45
Sandy species,S3,65.71428571428571,74.28571428571428,50
Sandy species,S4,69.28571428571428,77.85714285714286,55
Sandy species,S5,50,59.285714285714285,33.57142857142857
Sandy species,S6,61.42857142857143,68.57142857142857,46.42857142857142
Sandy species,S7,72.85714285714286,80,57.14285714285714
Sandy species,S8,59.285714285714285,66.42857142857143,45
Sandy species,S9,67.14285714285714,75,52.14285714285714
Sandy species,S10,72.85714285714286,80.71428571428571,57.857142857142854
Sandy species,S11,75,82.14285714285714,60.71428571428571
Sandy species,S12,70,79.28571428571428,58.57142857142857
Sandy species,S13,70,77.85714285714286,55
Sandy species,S14,65.71428571428571,74.28571428571428,50.71428571428571
Sandy species,S15,77.14285714285714,82.85714285714286,61.42857142857142
Snakes and lizard,Baseline,50.55555555555556,62.77777777777777,35
Snakes and lizard,S1,57.22222222222222,67.77777777777777,40.55555555555556
Snakes and lizard,S2,60,70.55555555555554,43.888888888888886
Snakes and lizard,S3,65,73.33333333333333,49.44444444444444
Snakes and lizard,S4,65.55555555555556,75,48.888888888888886
Snakes and lizard,S5,67.77777777777777,77.22222222222221,50
Snakes and lizard,S6,59.44444444444444,70,42.77777777777778
Snakes and lizard,S7,68.33333333333334,77.77777777777777,51.111111111111114
Snakes and lizard,S8,59.44444444444444,68.88888888888889,43.888888888888886
Snakes and lizard,S9,69.44444444444444,79.44444444444444,53.888888888888886
Snakes and lizard,S10,66.11111111111111,76.66666666666666,51.111111111111114
Snakes and lizard,S11,68.88888888888889,78.88888888888889,54.44444444444444
Snakes and lizard,S12,64.44444444444444,74.44444444444444,47.77777777777778
Snakes and lizard,S13,65,75.55555555555554,49.44444444444444
Snakes and lizard,S14,63.333333333333336,74.44444444444444,47.22222222222222
Snakes and lizard,S15,72.22222222222223,83.88888888888889,59.44444444444444
Turtles,Baseline,39.25,49.5,25
Turtles,S1,50,58,35
Turtles,S2,52.5,62,36.25
Turtles,S3,59.5,69,45
Turtles,S4,56.5,66.5,42.5
Turtles,S5,65,75,49.5
Turtles,S6,49.7,59,35.2
Turtles,S7,60.2,71,45.2
Turtles,S8,49,58.5,35.75
Turtles,S9,66,75,52.2
Turtles,S10,61,72.5,46
Turtles,S11,65.2,75.7,51.7
Turtles,S12,59.7,70,45.5
Turtles,S13,59,68.7,43.7
Turtles,S14,59,69,45
Turtles,S15,72.2,78.7,56
Wetland species,Baseline,46.5,55,32.5
Wetland species,S1,52.2,61,40.5
Wetland species,S2,56.5,64.5,45.7
Wetland species,S3,64,74,50.5
Wetland species,S4,65,72.5,52
Wetland species,S5,51.2,60.5,39.5
Wetland species,S6,55,62.5,44
Wetland species,S7,63,70.5,49.5
Wetland species,S8,55,63.5,46
Wetland species,S9,63,71,49.7
Wetland species,S10,69.5,77.5,55.7
Wetland species,S11,71.5,79,57.5
Wetland species,S12,69.5,79,57
Wetland species,S13,62,69.5,49.5
Wetland species,S14,67,74.2,54.5
Wetland species,S15,75.5,82.5,61
Working landscapes species,Baseline,60.625,68.75,46.875
Working landscapes species,S1,60.625,68.75,46.875
Working landscapes species,S2,71.875,80.625,56.875
Working landscapes species,S3,67.5,76.25,53.75
Working landscapes species,S4,63.75,71.25,50.625
Working landscapes species,S5,60.625,68.75,46.875
Working landscapes species,S6,63.125,70.625,49.375
Working landscapes species,S7,70,78.125,55.625
Working landscapes species,S8,67.5,75.625,56.25
Working landscapes species,S9,67.5,76.25,51.875
Working landscapes species,S10,68.125,76.875,52.5
Working landscapes species,S11,71.875,81.25,56.875
Working landscapes species,S12,68.125,77.5,53.75
Working landscapes species,S13,67.5,76.25,53.125
Working landscapes species,S14,73.75,83.75,59.375
Working landscapes species,S15,76.25,86.25,61.25
